Customer_ID,Loan_Amount,Customer_Vintage,No_of_MFIs,Category,Region,Income,Credit_Score,CREATED_TS,Final_Status
1,131958,0,2,Unique,South,65563,629,2025-01-01 00:00:00,Approved
2,156867,3,1,CAGL+2,West,75873,779,2025-01-01 01:00:00,Approved
3,141932,5,2,Unique,South,71206,720,2025-01-01 02:00:00,Approved
4,269178,8,2,Unique,North,26996,614,2025-01-01 03:00:00,Approved
5,129879,7,4,CAGL+1,South,17795,683,2025-01-01 04:00:00,Approved
6,120268,1,5,Unique,East,73902,635,2025-01-01 05:00:00,Approved
7,217892,2,5,CAGL+1,West,16923,579,2025-01-01 06:00:00,Rejected
8,64886,9,4,CAGL+1,West,45503,621,2025-01-01 07:00:00,Approved
9,147337,4,2,Unique,North,20773,785,2025-01-01 08:00:00,Rejected
10,97498,6,3,Unique,East,35092,744,2025-01-01 09:00:00,Approved
11,185203,2,1,Unique,West,28515,731,2025-01-01 10:00:00,Approved
12,201335,6,4,CAGL+1,West,58073,751,2025-01-01 11:00:00,Rejected
13,288167,4,4,CAGL+2,West,39899,574,2025-01-01 12:00:00,Rejected
14,51090,9,4,CAGL+1,North,54293,719,2025-01-01 13:00:00,Approved
15,74820,5,4,CAGL+1,North,65766,673,2025-01-01 14:00:00,Approved
16,272913,5,5,Unique,West,67407,621,2025-01-01 15:00:00,Rejected
17,204027,3,2,CAGL+2,South,63049,676,2025-01-01 16:00:00,Approved
18,262709,7,4,CAGL+1,West,12301,738,2025-01-01 17:00:00,Rejected
19,209041,8,4,CAGL+1,East,66372,715,2025-01-01 18:00:00,Rejected
20,277455,1,4,Unique,East,26767,585,2025-01-01 19:00:00,Rejected
21,113355,8,3,Unique,West,40817,590,2025-01-01 20:00:00,Rejected
22,245796,3,3,Others,West,51084,596,2025-01-01 21:00:00,Rejected
23,224176,5,1,CAGL+1,West,73591,789,2025-01-01 22:00:00,Approved
24,194779,6,2,CAGL+1,East,16786,764,2025-01-01 23:00:00,Rejected
25,268795,3,4,Unique,North,19094,580,2025-01-02 00:00:00,Rejected
26,166730,7,1,Unique,South,65210,551,2025-01-02 01:00:00,Rejected
27,159503,9,1,CAGL+2,North,28667,617,2025-01-02 02:00:00,Rejected
28,140523,7,2,Others,South,70803,711,2025-01-02 03:00:00,Approved
29,12747,0,3,CAGL+2,East,71601,557,2025-01-02 04:00:00,Rejected
30,133855,7,2,CAGL+1,East,59577,605,2025-01-02 05:00:00,Rejected
31,75725,9,1,Others,East,19667,645,2025-01-02 06:00:00,Approved
32,139981,2,2,CAGL+2,East,18331,560,2025-01-02 07:00:00,Rejected
33,94654,4,3,CAGL+2,North,65858,764,2025-01-02 08:00:00,Approved
34,77435,9,1,CAGL+2,South,20350,619,2025-01-02 09:00:00,Approved
35,41551,7,2,CAGL+1,East,29425,623,2025-01-02 10:00:00,Approved
36,283538,5,4,CAGL+1,South,64406,796,2025-01-02 11:00:00,Rejected
37,13890,3,4,CAGL+1,South,75650,745,2025-01-02 12:00:00,Approved
38,51606,3,2,CAGL+2,West,40909,616,2025-01-02 13:00:00,Approved
39,266840,3,2,CAGL+1,North,41700,689,2025-01-02 14:00:00,Approved
40,151699,5,3,Unique,North,72072,738,2025-01-02 15:00:00,Rejected
41,280936,6,1,Unique,North,40469,550,2025-01-02 16:00:00,Rejected
42,249931,4,2,Unique,North,20970,755,2025-01-02 17:00:00,Approved
43,249629,9,1,CAGL+1,South,17522,641,2025-01-02 18:00:00,Rejected
44,215041,7,4,Unique,East,44816,560,2025-01-02 19:00:00,Rejected
45,184073,6,1,CAGL+1,East,64864,579,2025-01-02 20:00:00,Rejected
46,217624,7,5,CAGL+2,South,23188,653,2025-01-02 21:00:00,Rejected
47,78148,3,3,Others,East,15547,786,2025-01-02 22:00:00,Approved
48,262801,7,3,CAGL+1,West,31817,679,2025-01-02 23:00:00,Approved
49,134243,5,1,CAGL+1,South,17468,683,2025-01-03 00:00:00,Approved
50,261995,2,3,CAGL+2,South,17609,701,2025-01-03 01:00:00,Approved
51,164555,7,1,Others,West,46393,755,2025-01-03 02:00:00,Rejected
52,58555,6,1,Unique,West,30481,585,2025-01-03 03:00:00,Rejected
53,266508,9,4,Unique,East,33313,679,2025-01-03 04:00:00,Rejected
54,289303,4,1,CAGL+1,North,21426,744,2025-01-03 05:00:00,Rejected
55,116530,3,3,Unique,North,75348,703,2025-01-03 06:00:00,Approved
56,90077,0,5,CAGL+2,West,16175,706,2025-01-03 07:00:00,Approved
57,210551,9,2,Unique,East,72561,764,2025-01-03 08:00:00,Approved
58,291601,2,3,CAGL+1,North,59380,665,2025-01-03 09:00:00,Approved
